User Input,Mapped Function,Model Output,Latency (s)
I want to epoch the data.,"{""text"": ""Which event do you want to use for epoching?""}",[{'text': 'Which event do you want to use for epoching?'}],1.57
Epoch it,"{""text"": ""What event should be used to create epochs?""}","[{'text': ""I'm afraid I can't perform time epoch without event number, please provide more information.""}]",1.13
Can you segment the data into trials?,"{""text"": ""Which event label should I use to create the epochs?""}","[{'text': 'Yes, the software allows you to segment the data into trials based on specific criteria, such as event-related potentials (ERPs) or physiological signals.'}]",0.56
I'd like to split the data into epochs.,"{""text"": ""Please specify the event you want to use for epoching.""}","[{'text': ""I'm afraid I can't perform time epoch without event number, please provide more information.""}]",1.23
Do epoching please,"{""text"": ""What event do you want to epoch the data on?""}","[{'text': ""The user's query is vague. To clarify, the model asks the user to provide specific information about the data they intend to preprocess.""}]",0.49
Can you do epoch segmentation,"{""text"": ""Which event should the data be segmented by?""}",[{'text': 'Which event do you want to use for epoching?'}],1.41
Cut EEG into trials,"{""text"": ""Which event should I use to define the trials?""}","[{'text': 'Sure, you can use this software to split EEG data into training and validation sets. The validation set is used to monitor the training process and prevent overfitting, while the training set is used to build the final model.'}]",0.54
Epoch the signal for me.,"{""text"": ""Please provide the event to use for epoching.""}","[{'command': 'Time Epoch', 'parameters': {'end_time': 3, 'event': [100, 200, 300], 'start_time': -0.5}}]",1.68
Let's do event-based segmentation.,"{""text"": ""Which event would you like to segment by?""}","[{'command': '3D Saliency plot', 'parameters': {'event': 'LH'}}]",1.01
Divide the data into time windows.,"{""text"": ""Are you referring to epochs? If so, which event should be used?""}","[{'command': 'Resample', 'parameters': {'frequency': 128}}]",4.65
Can I see the performance?,"{""text"": ""Do you want to see accuracy, AUC, or kappa value?""}","[{'command': 'Performance Table', 'parameters': {'type': 'Accuracy (%)'}}]",1.18
I want to know how the model did.,"{""text"": ""Would you like a confusion matrix or a performance table?""}","[{'command': 'Model Summary', 'parameters': {}}]",12.46
Show me the evaluation result.,"{""text"": ""Do you want to see the confusion matrix or performance table?""}","[{'text': ""Confusion matrix:\\n[[0.8, 0.1, 0.1]\\n[0.1, 0.7, 0.2]\\n[0.1, 0.2, 0.7]]\\n\\nPerformance Table:\\n{'accuracy': 0.81, 'loss': 0.01, 'auc': 0.95, 'kappa': 0.82}""}]",4.80
Evaluate the model for me.,"{""text"": ""Which evaluation would you like? (e.g., accuracy, confusion matrix, AUC)""}","[{'command': 'Performance Table', 'parameters': {'type': 'Accuracy (%)'}}]",2.78
How did the training go?,"{""text"": ""Would you like to see accuracy, AUC, or the confusion matrix?""}","[{'command': 'Training Manager', 'parameters': {'plot': 'accuracy'}}]",1.18
Can I get a summary of results?,"{""text"": ""Do you mean a performance table, confusion matrix, or something else?""}","[{'text': 'Sure, here is a summary of the results: \\n- Accuracy: [value]% \\n- AUC: [value] \\n- Kappa value: [value]'}]",6.26
Give me model output.,"{""text"": ""Do you want to export the model output or view evaluation metrics?""}","[{'command': 'Export Model', 'parameters': {}}]",1.80
Check the result,"{""text"": ""Would you like to see accuracy, AUC, or the confusion matrix?""}","[{'command': 'Performance Table', 'parameters': {'type': 'Accuracy (%)'}}]",1.23
I want to see how it performs,"{""text"": ""Do you mean performance table or confusion matrix?""}","[{'command': 'Training Manager', 'parameters': {'plot': 'accuracy'}}]",1.35
Can you show test results?,"{""text"": ""Should I show a performance table or confusion matrix?""}",[],12.54
Can I see the visualization results?,"{""text"": ""Which plot do you want to see? Saliency map or saliency topographic map?""}","[{'command': 'Clean plots', 'parameters': {}}]",3.14
I want to see a plot.,"{""text"": ""Which plot do you want to see? Can you be more specific?""}",[{'text': '3D saliency plot of the brain showing the activation of different brain regions during a specific task.'}],0.35
Show me the visualization,"{""text"": ""What kind of visualization do you want to see? (e.g., saliency map, spectrogram, model summary)""}","[{'text': 'Sure, here are the visualizations you requested:'}]",7.84
Can you display something 3D?,"{""text"": ""Do you want to see a 3D saliency plot? If so, for which event?""}",[{'text': '3D visualization is not included in the functionalities of this software.'}],0.26
I want to see event visualization.,"{""text"": ""Would you like a 3D saliency plot or another type of visualization?""}","[{'command': 'Time Epoch', 'parameters': {'event': [100, 200, 300]}}]",1.54
Visualize the data.,"{""text"": ""Which type of visualization do you want? (e.g., saliency map, spectrogram)""}","[{'command': 'clean plots', 'parameters': {}}]",1.02
Give me saliency of one class.,"{""text"": ""Which saliency plot and event do you want to visualize?""}","[{'command': 'Saliency map', 'parameters': {'class_id': 1}}]",1.21
I want to see model visualization.,"{""text"": ""Do you want to see the model summary or a saliency plot?""}","[{'command': 'Model Summary', 'parameters': {}}]",0.65
Can I see activity over time?,"{""text"": ""Would you like to see a saliency spectrogram?""}","[{'text': 'Sure, you can visualize the activity of specific neurons or clusters of neurons over time using the visualization tools. This allows you to observe how the activity changes in different parts of the brain during different cognitive tasks or conditions.'}]",0.60
Plot brain activity.,"{""text"": ""Do you want a saliency map, topographic map, or 3D saliency plot? If 3D, which event?""}","[{'command': '3D Saliency plot', 'parameters': {'event': 'LH'}}]",1.49
